 
 EEE-HPT-0                                                                      
  
  LETE.DATA ARE ESTIMATED, UNITS IN INCHES & DEGREES 
    K        LED        LEMA        TED         TEMA        XLE         RTLE         RLE        XTE         RTTE        RTE        CHORD
   26     0.28360    -2.42857     0.04866    70.00701   248.26018    -2.03980    13.84823   249.57922     0.01992    13.81061     2.44617
   27     0.28283    -2.42857     0.04858    70.04899   248.26009    -2.04831    13.90054   249.58083     0.02195    13.85035     2.45618
   28     0.28146    -2.42857     0.04853    70.09081   248.26001    -2.05711    13.95288   249.58238     0.02385    13.89008     2.46638
   29     0.27927    -2.42857     0.04849    70.13245   248.25984    -2.05879    14.00526   249.58385     0.02563    13.92981     2.47053
   30     0.27610    -2.42857     0.04849    70.17393   248.25967    -2.06943    14.05770   249.58603     0.02681    13.96951     2.48218
   31     0.27185    -2.42857     0.04852    70.21524   248.25949    -2.08006    14.11022   249.58717     0.02818    14.00921     2.49352
   32     0.26661    -2.42857     0.04857    70.25639   248.25919    -2.08440    14.16286   249.58813     0.02927    14.04888     2.49934
   33     0.26062    -2.42857     0.04864    70.29738   248.25883    -2.09524    14.21567   249.58885     0.03006    14.08850     2.51039
   34     0.25436    -2.42857     0.04872    70.33820   248.25853    -2.10590    14.26871   249.58931     0.03050    14.12806     2.52091
   35     0.24837    -2.42857     0.04880    70.37885   248.25826    -2.11634    14.32205   249.58745     0.03161    14.16755     2.53067
   36     0.24321    -2.42857     0.04887    70.41935   248.26073    -2.08781    14.37545   249.58717     0.03128    14.20689     2.50568
   37     0.23927    -2.42857     0.04894    70.45969   248.25935    -2.10347    14.42984   249.58656     0.03045    14.24607     2.51970
   38     0.23668    -2.42857     0.04898    70.49986   248.26341    -2.08819    14.48408   249.58559     0.02910    14.28504     2.50413
   39     0.23527    -2.42857     0.04901    70.53989   248.25969    -2.11822    14.54028   249.58421     0.02719    14.32376     2.53062
   40     0.23468    -2.42857     0.04903    70.57975   248.25752    -2.16342    14.59717   249.58243     0.02469    14.36218     2.56874
   41     0.23451    -2.42857     0.04904    70.61945   248.25757    -2.17138    14.65465   249.57935     0.02191    14.40027     2.57338
 
 EEE-HPT-1                                                                      
  
  LETE.DATA ARE ESTIMATED, UNITS IN INCHES & DEGREES 
    K        LED        LEMA        TED         TEMA        XLE         RTLE         RLE        XTE         RTTE        RTE        CHORD
    1     0.17247    30.05487     0.04751   -60.02836   250.04869    -0.00265    12.80015   251.15886    -0.70723    12.73123     1.31668
    2     0.17239    30.00458     0.04752   -60.02553   250.04840    -0.00133    12.84132   251.15858    -0.70853    12.77325     1.31806
    3     0.17222    29.95423     0.04754   -60.02270   250.04800     0.00036    12.88224   251.15828    -0.71019    12.81526     1.31988
    4     0.17198    29.90384     0.04756   -60.01987   250.04758     0.00234    12.92295   251.15790    -0.71227    12.85730     1.32204
    5     0.17167    29.85340     0.04759   -60.01704   250.04706     0.00467    12.96350   251.15739    -0.71472    12.89935     1.32457
    6     0.17130    29.80290     0.04763   -60.01421   250.04649     0.00728    13.00393   251.15686    -0.71750    12.94141     1.32745
    7     0.17088    29.75235     0.04767   -60.01138   250.04587     0.01018    13.04428   251.15628    -0.72058    12.98349     1.33068
    8     0.17044    29.70176     0.04773   -60.00854   250.04521     0.01329    13.08456   251.15565    -0.72393    13.02558     1.33419
    9     0.16999    29.65111     0.04779   -60.00571   250.04451     0.01664    13.12480   251.15497    -0.72754    13.06769     1.33798
   10     0.16957    29.60041     0.04785   -60.00288   250.04376     0.02027    13.16502   251.15419    -0.73140    13.10981     1.34205
   11     0.16921    29.54965     0.04792   -60.00005   250.04301     0.02409    13.20521   251.15346    -0.73542    13.15194     1.34640
   12     0.16893    29.49885     0.04799   -59.99721   250.04222     0.02810    13.24539   251.15266    -0.73962    13.19408     1.35097
   13     0.16874    29.44800     0.04807   -59.99438   250.04140     0.03231    13.28556   251.15186    -0.74398    13.23623     1.35579
   14     0.16866    29.39709     0.04815   -59.99154   250.04056     0.03669    13.32573   251.15100    -0.74844    13.27839     1.36080
   15     0.16864    29.34614     0.04823   -59.98871   250.03972     0.04123    13.36589   251.15012    -0.75303    13.32057     1.36597
   16     0.16865    29.29513     0.04831   -59.98587   250.03885     0.04591    13.40605   251.14928    -0.75764    13.36274     1.37135
   17     0.16863    29.24408     0.04838   -59.98303   250.03940     0.04833    13.44619   251.14844    -0.76228    13.40493     1.37432
   18     0.16849    29.19297     0.04845   -59.98020   250.03856     0.05319    13.48635   251.14755    -0.76695    13.44712     1.37987
   19     0.16818    29.14181     0.04852   -59.97736   250.03775     0.05814    13.52651   251.14671    -0.77159    13.48933     1.38551
   20     0.16762    29.09060     0.04858   -59.97452   250.03693     0.06319    13.56667   251.14586    -0.77619    13.53153     1.39123
   21     0.16678    29.03934     0.04862   -59.97168   250.03615     0.06832    13.60683   251.14505    -0.78073    13.57375     1.39701
   22     0.16565    28.98802     0.04866   -59.96885   250.03572     0.07417    13.64699   251.14439    -0.78464    13.61597     1.40274
   23     0.16426    28.93666     0.04868   -59.96600   250.03546     0.08054    13.68714   251.14427    -0.78615    13.65819     1.40764
   24     0.16266    28.88524     0.04869   -59.96316   250.03523     0.08690    13.72729   251.14418    -0.78760    13.70042     1.41253
   25     0.16092    28.83378     0.04869   -59.96032   250.03502     0.09321    13.76745   251.14413    -0.78893    13.74266     1.41737
   26     0.15914    28.78226     0.04868   -59.95748   250.03481     0.09953    13.80760   251.14407    -0.79016    13.78491     1.42216
   27     0.15743    28.73070     0.04865   -59.95464   250.03319     0.10805    13.84776   251.14403    -0.79130    13.82718     1.42941
   28     0.15589    28.67908     0.04861   -59.95180   250.03304     0.11410    13.88791   251.14403    -0.79232    13.86945     1.43396
   29     0.15457    28.62741     0.04857   -59.94896   250.03288     0.12004    13.92807   251.14403    -0.79325    13.91173     1.43841
   30     0.15352    28.57569     0.04852   -59.94611   250.03278     0.12575    13.96822   251.14406    -0.79409    13.95401     1.44266
   31     0.15271    28.52392     0.04847   -59.94328   250.03267     0.13131    14.00838   251.14410    -0.79483    13.99627     1.44678
   32     0.15211    28.47210     0.04843   -59.94043   250.03282     0.13623    14.04855   251.14417    -0.79549    14.03850     1.45027
   33     0.15164    28.42023     0.04839   -59.93758   250.03275     0.14131    14.08873   251.14450    -0.79592    14.08067     1.45412
   34     0.15125    28.36830     0.04836   -59.93473   250.03267     0.14612    14.12892   251.14520    -0.79605    14.12276     1.45789
   35     0.15087    28.31633     0.04834   -59.93190   250.03262     0.15063    14.16912   251.14526    -0.79650    14.16469     1.46118
   36     0.15050    28.26430     0.04832   -59.92905   250.03256     0.15481    14.20936   251.14536    -0.79685    14.20644     1.46423
   37     0.15011    28.21222     0.04831   -59.92620   250.03253     0.15863    14.24962   251.14545    -0.79716    14.24791     1.46701
   38     0.14973    28.16010     0.04831   -59.92336   250.03247     0.16211    14.28993   251.14551    -0.79741    14.28900     1.46954
   39     0.14941    28.10792     0.04830   -59.92051   250.03247     0.16513    14.33028   251.14558    -0.79761    14.32957     1.47169
   40     0.14917    28.05569     0.04830   -59.91766   250.03242     0.16774    14.37069   251.14566    -0.79776    14.36940     1.47360
   41     0.14904    28.00341     0.04830   -59.91481   250.03242     0.16989    14.41114   251.14571    -0.79788    14.40807     1.47512
 
 EEE-HPT-2                                                                      
  
  LETE.DATA ARE ESTIMATED, UNITS IN INCHES & DEGREES 
    K        LED        LEMA        TED         TEMA        XLE         RTLE         RLE        XTE         RTTE        RTE        CHORD
    1     0.24414   -17.93511     0.04883    64.82478   252.22150    -1.52582    12.58918   253.97833     0.01716    12.29095     2.35716
    2     0.24450   -17.90117     0.04884    64.83570   252.21936    -1.53098    12.63915   253.97888     0.01856    12.35819     2.36134
    3     0.24521   -17.86721     0.04888    64.84662   252.21858    -1.53096    12.68882   253.97971     0.02071    12.42555     2.36189
    4     0.24623   -17.83324     0.04894    64.85752   252.21729    -1.53112    12.73862   253.98088     0.02352    12.49292     2.36380
    5     0.24750   -17.79926     0.04900    64.86842   252.21552    -1.53143    12.78853   253.98227     0.02701    12.56026     2.36691
    6     0.24893   -17.76526     0.04908    64.87930   252.21329    -1.53190    12.83854   253.98393     0.03110    12.62754     2.37122
    7     0.25037   -17.73125     0.04915    64.89017   252.21063    -1.53254    12.88861   253.98587     0.03575    12.69477     2.37668
    8     0.25166   -17.69724     0.04923    64.90105   252.21045    -1.52635    12.93838   253.98804     0.04094    12.76194     2.37642
    9     0.25266   -17.66320     0.04929    64.91191   252.20705    -1.52735    12.98855   253.99040     0.04664    12.82907     2.38395
   10     0.25327   -17.62915     0.04935    64.92275   252.20322    -1.52857    13.03873   253.99297     0.05279    12.89616     2.39253
   11     0.25342   -17.59509     0.04939    64.93360   252.19907    -1.52996    13.08890   253.99570     0.05937    12.96322     2.40201
   12     0.25313   -17.56102     0.04941    64.94444   252.19456    -1.53155    13.13903   253.99861     0.06634    13.03026     2.41240
   13     0.25248   -17.52694     0.04941    64.95525   252.18690    -1.53952    13.18927   254.00169     0.07365    13.09729     2.42987
   14     0.25158   -17.49284     0.04939    64.96607   252.18187    -1.54118    13.23924   254.00491     0.08129    13.16431     2.44162
   15     0.25055   -17.45873     0.04936    64.97688   252.17664    -1.54291    13.28915   254.00827     0.08920    13.23132     2.45398
   16     0.24950   -17.42460     0.04933    64.98768   252.17117    -1.54478    13.33896   254.01254     0.09697    13.29832     2.46731
   17     0.24849   -17.39047     0.04930    64.99847   252.16551    -1.54672    13.38869   254.01599     0.10539    13.36535     2.48078
   18     0.24757   -17.35632     0.04928    65.00925   252.15968    -1.54878    13.43832   254.01950     0.11399    13.43238     2.49474
   19     0.24674   -17.32216     0.04927    65.02002   252.15375    -1.55091    13.48784   254.02309     0.12271    13.49942     2.50910
   20     0.24597   -17.28798     0.04928    65.03078   252.14764    -1.55317    13.53725   254.02672     0.13154    13.56646     2.52388
   21     0.24523   -17.25379     0.04930    65.04154   252.14148    -1.55544    13.58656   254.03041     0.14042    13.63352     2.53893
   22     0.24452   -17.21959     0.04933    65.05228   252.13521    -1.55785    13.63575   254.03366     0.14842    13.70059     2.55337
   23     0.24381   -17.18538     0.04937    65.06302   252.12891    -1.56026    13.68483   254.03618     0.15448    13.76765     2.56611
   24     0.24314   -17.15116     0.04942    65.07375   252.12305    -1.56265    13.73384   254.03865     0.16052    13.83472     2.57858
   25     0.24256   -17.11692     0.04947    65.08447   252.11819    -1.56485    13.78283   254.04115     0.16655    13.90178     2.59030
   26     0.24211   -17.08267     0.04951    65.09518   252.11159    -1.57072    13.83158   254.04364     0.17258    13.96885     2.60591
   27     0.24187   -17.04840     0.04956    65.10589   252.10661    -1.57320    13.88039   254.04611     0.17860    14.03593     2.61814
   28     0.24188   -17.01413     0.04960    65.11658   252.10162    -1.57575    13.92912   254.04865     0.18461    14.10301     2.63058
   29     0.24218   -16.97984     0.04964    65.12727   252.09660    -1.57837    13.97776   254.05113     0.19062    14.17010     2.64320
   30     0.24277   -16.94554     0.04968    65.13795   252.09158    -1.58101    14.02632   254.05362     0.19664    14.23720     2.65596
   31     0.24364   -16.91123     0.04971    65.14861   252.08655    -1.58369    14.07479   254.05612     0.20265    14.30433     2.66888
   32     0.24472   -16.87690     0.04975    65.15927   252.08148    -1.58645    14.12316   254.05865     0.20866    14.37149     2.68203
   33     0.24598   -16.84256     0.04978    65.16992   252.07645    -1.58922    14.17143   254.06116     0.21467    14.43869     2.69528
   34     0.24734   -16.80821     0.04981    65.18056   252.07140    -1.59203    14.21958   254.06367     0.22068    14.50594     2.70870
   35     0.24875   -16.77385     0.04983    65.19120   252.06636    -1.59490    14.26761   254.06619     0.22669    14.57326     2.72231
   36     0.25012   -16.73947     0.04986    65.20183   252.06133    -1.59776    14.31548   254.06873     0.23272    14.64065     2.73606
   37     0.25140   -16.70509     0.04988    65.21244   252.05629    -1.60069    14.36318   254.07123     0.23876    14.70814     2.75000
   38     0.25253   -16.67068     0.04990    65.22305   252.05128    -1.60361    14.41070   254.07376     0.24479    14.77572     2.76410
   39     0.25344   -16.63627     0.04991    65.23365   252.04628    -1.60659    14.45800   254.07629     0.25083    14.84337     2.77839
   40     0.25408   -16.60185     0.04992    65.24425   252.04129    -1.60960    14.50504   254.07884     0.25687    14.91107     2.79289
   41     0.25441   -16.56741     0.04992    65.25483   252.03635    -1.61263    14.55180   254.08138     0.26291    14.97872     2.80750
 
 EEE-HPT-3                                                                      
  
  LETE.DATA ARE ESTIMATED, UNITS IN INCHES & DEGREES 
    K        LED        LEMA        TED         TEMA        XLE         RTLE         RLE        XTE         RTTE        RTE        CHORD
    1     0.09525    19.99089     0.07630   -54.78455   254.49725     0.06857    12.24959   255.79639    -0.66915    12.24990     1.49398
    2     0.09550    19.49459     0.07614   -54.80076   254.49782     0.07065    12.32044   255.79575    -0.66944    12.31858     1.49411
    3     0.09599    18.99522     0.07582   -54.81696   254.49860     0.07368    12.39069   255.79474    -0.66992    12.38747     1.49430
    4     0.09668    18.49284     0.07536   -54.83315   254.49962     0.07755    12.46049   255.79341    -0.67054    12.45650     1.49451
    5     0.09751    17.98749     0.07475   -54.84932   254.50084     0.08224    12.52998   255.79179    -0.67130    12.52563     1.49479
    6     0.09844    17.47923     0.07402   -54.86548   254.50281     0.08683    12.59921   255.78992    -0.67221    12.59480     1.49426
    7     0.09939    16.96812     0.07318   -54.88163   254.50436     0.09308    12.66830   255.78778    -0.67324    12.66401     1.49480
    8     0.10034    16.45421     0.07224   -54.89776   254.50607     0.09999    12.73726   255.78539    -0.67440    12.73321     1.49544
    9     0.10123    15.93756     0.07121   -54.91388   254.50797     0.10758    12.80612   255.78278    -0.67570    12.80242     1.49622
   10     0.10207    15.41824     0.07011   -54.92999   254.50996     0.11577    12.87492   255.78000    -0.67707    12.87162     1.49719
   11     0.10285    14.89631     0.06895   -54.94608   254.51212     0.12458    12.94366   255.77699    -0.67859    12.94079     1.49834
   12     0.10357    14.37184     0.06774   -54.96216   254.51440     0.13388    13.01236   255.77385    -0.68020    13.00996     1.49964
   13     0.10427    13.84489     0.06651   -54.97823   254.51630     0.14468    13.08104   255.77054    -0.68191    13.07910     1.50213
   14     0.10496    13.31555     0.06526   -54.99429   254.51884     0.15496    13.14969   255.76709    -0.68373    13.14822     1.50384
   15     0.10565    12.78388     0.06402   -55.01033   254.52150     0.16564    13.21832   255.76357    -0.68563    13.21732     1.50578
   16     0.10638    12.24996     0.06282   -55.02636   254.52428     0.17669    13.28694   255.75998    -0.68757    13.28641     1.50795
   17     0.10716    11.71387     0.06167   -55.04237   254.52715     0.18812    13.35554   255.75627    -0.68962    13.35548     1.51036
   18     0.10802    11.17570     0.06061   -55.05838   254.53015     0.19981    13.42414   255.75255    -0.69174    13.42453     1.51298
   19     0.10897    10.63552     0.05967   -55.07437   254.53316     0.21217    13.49273   255.74876    -0.69390    13.49357     1.51614
   20     0.11005    10.09342     0.05886   -55.09035   254.53647     0.22406    13.56131   255.74500    -0.69612    13.56260     1.51897
   21     0.11123     9.54949     0.05822   -55.10632   254.53976     0.23658    13.62989   255.74118    -0.69841    13.63161     1.52237
   22     0.11252     9.00382     0.05774   -55.12227   254.54391     0.24971    13.69846   255.73787    -0.70124    13.70063     1.52638
   23     0.11387     8.45649     0.05743   -55.13821   254.54837     0.26317    13.76702   255.73491    -0.70443    13.76965     1.53105
   24     0.11523     7.90761     0.05729   -55.15414   254.55276     0.27776    13.83559   255.73195    -0.70764    13.83866     1.53672
   25     0.11654     7.35726     0.05728   -55.17005   254.55736     0.29119    13.90415   255.72906    -0.71084    13.90766     1.54174
   26     0.11776     6.80554     0.05740   -55.18596   254.56200     0.30392    13.97273   255.72624    -0.71403    13.97666     1.54651
   27     0.11885     6.25255     0.05762   -55.20185   254.56667     0.31842    14.04130   255.72350    -0.71717    14.04565     1.55265
   28     0.11979     5.69839     0.05792   -55.21772   254.57129     0.33107    14.10989   255.72084    -0.72025    14.11462     1.55781
   29     0.12057     5.14315     0.05827   -55.23359   254.57585     0.34336    14.17848   255.71829    -0.72325    14.18358     1.56296
   30     0.12120     4.58695     0.05865   -55.24944   254.58032     0.35517    14.24708   255.71585    -0.72618    14.25251     1.56804
   31     0.12172     4.02988     0.05906   -55.26528   254.58467     0.36650    14.31571   255.71350    -0.72899    14.32139     1.57302
   32     0.12214     3.47205     0.05947   -55.28110   254.58870     0.37658    14.38436   255.71130    -0.73168    14.39019     1.57750
   33     0.12250     2.91355     0.05988   -55.29692   254.59328     0.38871    14.45306   255.70927    -0.73421    14.45889     1.58317
   34     0.12279     2.35450     0.06028   -55.31272   254.59709     0.39815    14.52181   255.70738    -0.73658    14.52744     1.58757
   35     0.12304     1.79500     0.06065   -55.32851   254.60068     0.40683    14.59064   255.70563    -0.73878    14.59578     1.59165
   36     0.12325     1.23516     0.06100   -55.34428   254.60397     0.41478    14.65958   255.70401    -0.74081    14.66385     1.59546
   37     0.12343     0.67509     0.06130   -55.36005   254.60695     0.42186    14.72868   255.70264    -0.74258    14.73159     1.59890
   38     0.12356     0.11488     0.06156   -55.37580   254.60956     0.42806    14.79799   255.70145    -0.74413    14.79893     1.60195
   39     0.12365    -0.44535     0.06176   -55.39154   254.61180     0.43333    14.86759   255.70042    -0.74546    14.86580     1.60458
   40     0.12371    -1.00549     0.06190   -55.40726   254.61362     0.43760    14.93759   255.69958    -0.74655    14.93215     1.60673
   41     0.12374    -1.56544     0.06197   -55.42298   254.61499     0.44080    15.00812   255.69896    -0.74736    14.99792     1.60836
